,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,charleston,20,US,1569459605,83,32.79,-79.94,81.0,6.93
389,khani,100,GE,1569459637,93,41.96,42.96,64.4,8.05
390,eyl,44,SO,1569459637,77,7.98,49.82,74.58,23.62
391,horadiz,0,AZ,1569459637,93,39.45,47.33,62.6,4.7
392,ipoh,75,MY,1569459638,94,4.59,101.08,77.0,3.6
393,puerto madero,0,AR,1569459588,48,-51.62,-69.23,44.6,20.8
394,karratha,59,AU,1569459639,19,-20.74,116.85,78.2,7.76
395,minab,0,IR,1569459640,83,27.15,57.07,84.2,6.93
396,roald,0,NO,1569459640,87,62.58,6.12,48.2,6.93
397,una,0,IN,1569459641,80,31.47,76.27,74.83,5.19
398,miraflores,0,PE,1569459642,25,-16.39,-71.52,60.8,2.24
399,havoysund,75,NO,1569459642,93,71.0,24.66,44.6,23.04
400,benguela,63,AO,1569459642,86,-12.58,13.4,72.71,11.41
401,mount isa,89,GB,1569459626,93,53.66,-1.85,59.0,4.7
402,fairbanks,75,US,1569459643,70,64.84,-147.72,45.0,11.41
403,mitu,0,IR,1569459643,46,36.2,46.09,52.98,3.65
404,khorramshahr,0,IR,1569459644,42,30.43,48.18,82.4,4.7
405,sayyan,12,YE,1569459645,56,15.17,44.32,70.37,0.83
406,harnosand,90,SE,1569459645,100,62.63,17.94,43.0,5.82
407,port hawkesbury,85,CD,1569459450,55,-7.04,29.76,67.49,3.29
408,starosubkhangulovo,2,RU,1569459646,97,53.1,57.43,27.81,3.74
409,tungao,10,PH,1569459646,74,8.78,125.57,82.37,4.38
410,tsabong,0,BW,1569459647,33,-26.02,22.4,61.87,21.83
411,itupiranga,20,BR,1569459647,65,-5.13,-49.33,82.4,5.82
412,san jose iturbide,8,ML,1569459559,53,13.3,-4.9,82.34,8.88
413,iralaya,75,HN,1569459648,83,15.0,-83.23,82.4,2.24
414,lukulu,42,ZM,1569459648,44,-14.38,23.24,73.01,14.67
415,hasaki,75,JP,1569459649,69,35.73,140.83,77.0,9.17
416,rodrigues alves,100,BR,1569459649,88,-24.07,-48.35,59.19,9.33
417,panguna,21,PG,1569459650,76,-6.32,155.48,81.51,2.77
418,baturaja,88,ID,1569459650,86,-4.12,104.17,74.02,1.32
419,port shepstone,85,CD,1569459636,55,-7.04,29.76,67.49,3.29
420,guisa,40,CU,1569459651,88,20.25,-76.54,80.6,5.82
421,kentau,0,KZ,1569459652,26,43.52,68.5,60.39,6.76
422,port keats,85,CD,1569459636,55,-7.04,29.76,67.49,3.29
423,narsaq,0,GL,1569459489,51,60.91,-46.05,42.8,3.36
424,bani,34,YE,1569459653,76,16.02,42.93,87.07,7.96
425,banjarmasin,8,ID,1569459546,78,-3.32,114.59,80.6,5.82
426,zavitinsk,0,RU,1569459654,58,50.11,129.44,49.06,3.22
427,caravelas,30,BR,1569459654,83,-17.73,-39.27,72.81,12.66
428,abilene,1,US,1569459357,51,32.45,-99.73,93.2,9.89
429,lodja,100,CD,1569459655,97,-3.52,23.6,65.81,3.78
430,piacabucu,44,BR,1569459656,80,-10.41,-36.43,74.78,8.43
431,conakry,76,GN,1569459656,82,9.52,-13.7,81.47,5.53
432,sabha,0,LY,1569459657,22,27.03,14.43,80.05,3.85
433,xuchang,0,CN,1569459657,60,34.03,113.82,69.8,4.47
434,praia,75,BR,1569459659,82,-20.25,-43.81,60.8,12.75
435,balayong,65,PH,1569459659,79,15.95,120.35,79.87,3.02
436,ishigaki,75,JP,1569459659,83,24.34,124.16,80.6,16.11
437,ulaangom,74,MN,1569459660,81,49.98,92.07,48.55,4.29
438,beira,40,ES,1569459532,87,43.2,-8.36,64.99,6.93
439,santa rosalia,51,PH,1569459661,72,17.49,120.43,81.47,5.97
440,phanom thuan,40,LA,1569459662,94,19.88,102.16,69.8,2.35
441,bom jesus,56,ML,1569459662,29,14.95,-2.93,89.48,6.26
442,gimli,91,CA,1569459663,66,50.63,-96.99,50.0,11.14
443,margate,20,AU,1569459664,47,-43.03,147.26,59.0,16.11
444,troyes,90,FR,1569459664,93,48.3,4.07,60.8,6.93
445,sechura,44,PE,1569459665,93,-5.56,-80.82,62.23,12.71
446,deming,1,US,1569459666,56,32.27,-107.76,78.8,11.41
447,balkhash,99,KZ,1569459666,38,46.84,74.98,59.53,9.44
448,hemsedal,76,NO,1569459667,85,60.86,8.55,41.0,3.76
449,kandrian,85,PG,1569459667,73,-6.21,149.55,82.61,7.2
450,abaetetuba,75,BR,1569459443,83,-1.72,-48.88,78.8,8.05
451,oranjestad,20,AW,1569459623,79,12.52,-70.03,84.2,4.7
452,caconda,25,AO,1569459668,84,-13.73,15.06,56.02,2.82
453,mpanda,96,BI,1569459669,56,-3.17,29.4,67.54,2.24
454,madras,1,US,1569459670,28,44.63,-121.13,73.99,3.36
455,zhigansk,100,RU,1569459671,87,66.77,123.37,40.06,8.41
456,svetlaya,20,RU,1569459671,39,46.54,138.33,55.77,1.99
457,sabang,36,PH,1569459672,79,13.8,121.11,82.99,1.99
458,maragogi,27,BR,1569459629,92,-9.01,-35.22,68.21,1.92
459,golub-dobrzyn,100,PL,1569459593,97,53.11,19.05,60.01,1.99
460,taoudenni,18,ML,1569459496,10,22.68,-3.98,94.88,6.51
461,zeya,0,RU,1569459673,65,53.74,127.27,48.42,0.47
462,tessalit,0,ML,1569459674,13,20.2,1.01,90.24,9.15
463,georgiyevka,23,RU,1569459675,63,52.25,40.45,38.88,3.2
464,grand river south east,90,FR,1569459675,93,48.39,5.49,59.0,9.17
465,kurilsk,2,RU,1569459675,58,45.23,147.88,56.0,22.75
466,santa fe,51,PH,1569459676,72,17.49,120.43,81.47,5.97
467,rabaul,35,PG,1569459677,74,-4.2,152.17,82.61,8.43
468,haimen,100,CN,1569459677,64,31.87,121.18,77.0,5.12
469,porto novo,20,PT,1569459446,100,41.15,-8.61,60.01,3.62
470,viloco,44,BO,1569459678,80,-16.87,-67.5,46.46,11.68
471,sawtell,90,AU,1569459590,88,-30.38,153.1,71.01,5.82
472,ajaccio,40,FR,1569459679,82,41.93,8.74,75.2,6.93
473,zlobin,75,HR,1569459679,100,45.29,14.65,66.0,6.93
474,pundaguitan,27,PH,1569459680,69,6.37,126.17,82.3,1.16
475,teguise,75,ES,1569459386,78,29.06,-13.56,73.4,14.99
476,santiago del estero,85,PH,1569459680,94,16.69,121.54,73.98,1.7
477,mogadishu,15,SO,1569459537,85,2.04,45.34,76.65,16.6
478,faya,0,SA,1569459682,37,18.39,42.45,71.6,5.82
479,port hueneme,85,CD,1569459513,55,-7.04,29.76,67.49,3.29
480,gap,69,FR,1569459683,79,44.56,6.08,39.0,3.49
481,avera,1,US,1569459684,57,33.19,-82.53,80.6,4.7
482,liwale,98,TZ,1569459684,83,-9.8,37.92,66.53,6.78
483,mazyr,100,BY,1569459685,88,52.05,29.27,48.48,5.79
484,kishi,80,NG,1569459685,95,9.08,3.85,73.77,4.18
485,khuzhir,100,RU,1569459685,94,53.19,107.35,47.88,4.05
486,bealanana,28,MG,1569459686,90,-14.54,48.75,58.95,2.86
487,filingue,0,NE,1569459687,34,14.35,3.32,90.67,13.67
488,coshocton,1,US,1569459687,43,40.27,-81.86,73.4,4.7
489,pozo colorado,75,CU,1569459687,78,22.45,-80.18,80.6,6.93
490,kavaratti,100,IN,1569459495,73,10.57,72.64,81.71,5.28
491,goure,69,NE,1569459599,31,13.98,10.27,84.99,1.99
492,novonikolayevskiy,44,RU,1569459689,84,50.97,42.37,33.01,4.41
493,bac lieu,40,RS,1569459689,93,45.39,19.24,61.0,3.36
494,ayagoz,100,KZ,1569459690,74,47.96,80.43,46.52,10.63
495,salme,75,NP,1569459692,100,28.04,85.09,66.2,2.24
496,bhinga,77,IN,1569459692,73,27.7,81.93,79.0,7.38
497,khandyga,41,RU,1569459578,78,62.65,135.58,35.86,3.94
498,tecoanapa,75,MX,1569459520,78,16.99,-99.26,82.4,8.05
499,sistranda,0,NO,1569459693,71,63.73,8.83,54.0,17.22
500,vila velha,0,IT,1569459527,100,45.18,8.4,64.99,4.7
501,noumea,0,NC,1569459694,47,-22.28,166.46,78.8,17.22
502,rawson,0,AR,1569459695,36,-43.3,-65.11,65.51,13.67
503,beruwala,100,LK,1569459695,77,6.48,79.98,80.54,10.42
504,mandera,2,ET,1569459696,68,3.94,41.86,78.57,19.73
505,onega,100,RU,1569459696,92,63.91,38.09,43.44,22.12
506,carbonia,20,IT,1569459697,88,39.17,8.53,73.4,6.93
507,lafia,67,NG,1569459697,95,8.5,8.51,74.92,3.6
508,antalaha,38,MG,1569459698,97,-14.9,50.28,60.68,2.35
509,humaita,0,AR,1569459490,35,-24.93,-65.37,69.8,5.82
510,sorland,23,NO,1569459699,88,67.67,12.69,51.68,14.76
511,arroyo,68,BO,1569459700,80,-11.08,-66.08,77.12,2.17
512,conde,17,BR,1569459670,97,-11.81,-37.61,68.87,3.0
513,neiafu,75,TO,1569459701,65,-18.65,-173.98,78.8,4.7
514,yokadouma,83,CM,1569459702,98,3.52,15.05,68.04,2.48
515,rehnan,0,IR,1569459702,11,32.68,51.6,60.8,11.41
516,nueva guinea,20,EC,1569459703,69,-1.72,-79.83,78.8,13.87
517,cachoeira,3,BR,1569459704,97,-12.6,-38.97,68.03,3.65
518,kovdor,100,RU,1569459704,98,67.56,30.47,39.28,2.35
519,zima,93,RU,1569459705,96,53.93,102.05,46.93,3.47
520,pangani,75,KE,1569459705,94,-2.37,40.57,77.0,15.23
521,karaton,20,ID,1569459706,74,-6.34,106.1,82.99,3.36
522,tsalenjikha,100,GE,1569459706,93,42.6,42.07,64.4,8.05
523,gorontalo,17,ID,1569459707,48,0.54,123.06,82.86,0.45
524,bethanien,0,NA,1569459707,36,-26.5,17.16,57.89,6.89
525,tibati,100,CM,1569459708,95,6.47,12.63,66.73,2.06
526,pechenga,62,RU,1569459708,93,58.89,41.46,29.38,5.06
527,martapura,8,ID,1569459709,78,-3.41,114.85,80.6,5.82
528,san carlos de bariloche,8,ML,1569459559,53,13.3,-4.9,82.34,8.88
529,marawi,3,PH,1569459709,72,8.0,124.29,84.0,5.01
530,kapuvar,0,HU,1569459710,72,47.59,17.03,59.0,6.93
